T_amb,P_pv,P_wind,P_load,Qdot_load
281.77,0.0,6140700.0,1660124.44,12239991.57
282.01,0.0,4150300.0,1080704.21,13696462.45
282.09,0.0,2692450.0,851004.52,12179112.76
282.15,0.0,1483650.0,437980.22,9244316.21
282.21,0.0,2692450.0,712127.66,7164964.01
282.01,0.0,6140700.0,618841.03,6140408.13
281.75,0.0,2692450.0,580473.3,6139750.8
281.56,0.0,4150300.0,869254.52,6146641.5
281.48,0.0,4150300.0,767503.55,6176092.39
281.34,0.0,1483650.0,375053.97,6515932.76
281.04,0.0,4150300.0,730129.29,8650204.74
281.02,0.0,8755450.0,963743.25,12867995.48
280.92,0.0,6140700.0,597312.58,12926676.5
280.99,176850.0,1483650.0,1025070.02,8831742.28
281.16,1733130.0,0.0,973618.32,6816151.01
281.36,2631130.0,0.0,1662777.0,6585101.29
281.45,0.0,0.0,1757076.96,6653012.65
281.31,7109370.0,6434150.0,1438213.54,6744368.07
281.24,0.0,7442050.0,1002200.39,6828456.14
280.92,0.0,0.0,1071445.09,6919174.27
280.19,3360150.0,0.0,1040548.24,7035881.08
279.65,601290.0,4150300.0,826177.76,7296685.84
279.07,0.0,8272300.0,1423400.93,8163200.66
278.75,0.0,4150300.0,845609.99,10282552.65
278.45,0.0,4150300.0,381839.35,13245920.48
278.29,0.0,1483650.0,750266.89,14773380.02
278.41,0.0,2692450.0,1094513.41,13316469.57
278.33,0.0,1483650.0,622496.99,10431343.1
278.04,0.0,581950.0,1305287.54,8391331.36
278.19,0.0,6140700.0,445232.53,7386995.15
277.73,0.0,2692450.0,1020798.1,7372931.3
277.45,0.0,4150300.0,618900.64,7339162.87
278.01,0.0,4150300.0,637776.53,7311251.41
278.21,0.0,1483650.0,717442.71,7574828.44
278.36,0.0,4150300.0,481901.43,9628001.94
278.64,0.0,8755450.0,1158284.11,13739639.37
279.16,0.0,6140700.0,743034.44,13671507.85
279.54,176850.0,1483650.0,870804.33,9438991.92
279.98,1733130.0,0.0,818259.82,7273071.74
280.43,2631130.0,0.0,1086506.06,6893671.13
281.14,0.0,0.0,753843.37,6806638.24
281.95,7109370.0,6434150.0,419710.34,6723928.61
282.79,0.0,7442050.0,631209.7,6638567.01
282.92,0.0,0.0,620559.73,6534780.64
282.39,3360150.0,0.0,865916.47,6444235.76
281.66,601290.0,4150300.0,1044889.7,6520206.3
281.63,0.0,8272300.0,866075.43,7211117.62
281.85,0.0,4150300.0,727754.91,9167173.74
281.39,0.0,4150300.0,884673.15,11985267.59
281.41,0.0,1483650.0,741077.31,13408551.84
281.48,0.0,2692450.0,1159943.2,11901092.2
281.56,0.0,1483650.0,756684.69,9024976.67
281.79,0.0,581950.0,760728.1,7022986.72
282.08,0.0,11890150.0,531425.8,6093155.62
282.56,0.0,6140700.0,639217.05,6193376.9
282.77,0.0,16694650.0,656255.03,6313673.61
282.95,0.0,6140700.0,591629.95,6442244.87
283.07,0.0,8755450.0,530491.94,6853513.45
283.11,0.0,4150300.0,406536.96,9046906.01
282.87,0.0,8755450.0,589782.1,13320081.08
282.14,0.0,8755450.0,3659597.61,13434585.99
280.39,530550.0,16694650.0,10633413.76,9380970.23
